,Close,High,Low,Open,Volume
2017-01-13 17:30:00,807.98,807.98,807.98,807.98,100.0
2017-01-13 17:35:00,808.0,808.0,808.0,808.0,100.0
2017-01-13 17:50:00,807.88,807.88,807.88,807.88,200.0
2017-01-13 17:55:00,807.88,807.88,807.88,807.88,300.0
2017-01-17 09:10:00,806.25,806.25,806.25,806.25,100.0
2017-01-17 09:30:00,806.94,806.94,806.94,806.94,100.0
2017-01-17 09:35:00,805.51,807.14,805.01,807.08,50581.0
2017-01-17 09:40:00,802.09,805.7299,800.37,805.7237,34485.0
2017-01-17 09:45:00,802.0,803.5,802.0,802.24,15776.0
2017-01-17 09:50:00,801.6836,802.0,800.39,801.81,15525.0
2017-01-17 09:55:00,802.8706,803.59,801.0,801.82,9842.0
2017-01-17 10:00:00,800.86,803.906,800.86,802.8905,39067.0
2017-01-17 10:05:00,802.405,802.73,800.6,800.6,8109.0
2017-01-17 10:10:00,803.9,804.32,800.6207,802.425,26403.0
2017-01-17 10:15:00,802.55,804.0,802.36,803.839,6453.0
2017-01-17 10:20:00,802.69,803.42,802.2,802.89,7171.0
2017-01-17 10:25:00,801.97,803.28,801.7,802.61,29364.0
2017-01-17 10:30:00,802.39,802.41,801.0,801.5,17573.0
2017-01-17 10:35:00,804.1103,804.35,802.0,802.0,14333.0
2017-01-17 10:40:00,804.0978,804.87,803.62,804.44,9651.0
2017-01-17 10:45:00,804.26,804.28,803.751,803.751,3791.0
2017-01-17 10:50:00,803.86,804.27,803.3747,804.27,10913.0
2017-01-17 10:55:00,804.07,804.07,803.25,803.85,4349.0
2017-01-17 11:00:00,804.2233,804.49,803.72,803.75,9507.0
2017-01-17 11:05:00,803.7936,804.35,803.55,804.19,2980.0
2017-01-17 11:10:00,802.935,803.6709,802.76,803.6709,3102.0
2017-01-17 11:15:00,802.55,803.26,802.51,803.12,7854.0
2017-01-17 11:20:00,802.58,802.9,802.4,802.5,3913.0
2017-01-17 11:25:00,802.8,802.8,802.48,802.613,3100.0
2017-01-17 11:30:00,803.31,803.36,802.8,802.805,9400.0
2017-01-17 11:35:00,802.68,803.26,802.65,802.96,1900.0
2017-01-17 11:40:00,803.723,803.723,802.82,802.82,2457.0
2017-01-17 11:45:00,803.89,804.0,803.5,803.77,3240.0
